crop,temp_c,humidity,gas_ppm,hours_since_harvest,vqi,weight
Tomato,26.78,72.82,176.44,19,5.95,108.08049713000267
Tomato,21.24,60.91,278.99,39,5.11,150.24262977242242
Tomato,26.92,72.66,410.99,13,4.42,160.88009693259264
Tomato,27.18,67.5,404.41,16,5.23,161.72915610725224
Tomato,34.39,58.0,55.49,29,4.71,121.49576434277795
Tomato,26.42,66.84,442.06,39,4.46,180.30555154929598
Tomato,27.9,54.5,477.27,32,4.81,144.0204042686349
Tomato,26.9,68.13,350.93,10,7.12,120.85267281817283
Tomato,23.49,69.43,73.16,9,5.78,119.68504517850396
Tomato,30.43,62.04,292.0,47,4.12,120.56243838048155
Tomato,29.26,65.62,362.11,20,4.82,138.87844113636856
Tomato,29.37,74.77,417.95,9,5.63,135.01952684459982
Tomato,24.27,62.47,426.58,35,5.27,175.82861844797208
Tomato,31.21,59.71,157.79,5,6.16,142.40834160908005
Tomato,22.79,72.41,0.07,32,4.06,128.2044254949188
Tomato,28.76,74.81,403.98,39,3.52,152.26342999292828
Tomato,33.57,65.02,120.42,4,5.57,186.7310191109136
Tomato,24.03,70.06,195.38,36,4.96,128.94344741221786
Tomato,25.3,71.71,178.28,20,5.1,152.14629911735446
Tomato,27.3,61.29,453.21,44,4.19,103.80925559351338
Tomato,25.49,62.57,455.65,30,6.59,170.13007213525
Tomato,22.35,71.15,50.3,11,6.1,135.4181553169127
Tomato,27.21,73.43,85.25,13,5.1,127.27630004592173
Tomato,23.81,67.81,1.62,47,4.43,125.12902547961853
Tomato,28.42,60.6,320.22,31,4.61,149.2732321548161
Tomato,24.24,74.94,350.8,31,4.87,148.46225064928703
Tomato,31.65,62.35,273.38,19,5.35,140.47192907910733
Tomato,24.65,63.32,35.43,25,5.52,169.83018224313122
Tomato,26.03,66.71,271.29,33,4.8,137.82300484717783
Tomato,29.44,72.77,381.54,10,5.6,141.0222409915202
Tomato,23.31,69.27,139.78,25,4.45,115.8670476796845
Tomato,27.68,67.07,318.5,27,6.1,117.65588719426374
Tomato,30.92,67.32,471.05,4,5.3,120.30115921070963
Tomato,22.18,65.22,300.15,24,6.81,171.05862201508958
Tomato,27.55,67.79,79.78,12,5.8,108.9407127748727
Tomato,27.78,52.35,301.59,11,6.57,172.92921557302003
Tomato,29.35,63.52,383.17,37,3.83,150.23585485870893
Tomato,23.29,66.21,87.69,14,5.05,146.31524613010168
Tomato,23.04,59.24,373.57,30,6.58,138.36551032883492
Tomato,28.57,66.93,244.15,39,5.13,134.3308586599418
Tomato,27.89,63.98,90.54,14,5.79,137.22531192971442
Tomato,27.75,73.78,92.31,27,4.21,144.87132550429033
Tomato,28.04,72.87,273.84,21,4.48,171.02599218025145
Tomato,24.96,62.67,439.23,6,6.35,194.30903705226854
Tomato,27.7,64.25,409.48,21,4.66,128.72341916408243
Tomato,27.88,64.63,235.96,15,5.42,181.67754766667656
Tomato,24.86,62.74,273.62,46,3.37,124.90533664032702
Tomato,32.6,65.98,217.49,15,6.42,138.58885014664608
Tomato,28.42,61.21,35.37,9,6.31,152.77184584632172
Tomato,23.43,59.35,156.2,14,6.93,142.36113363295385
Tomato,28.97,68.11,146.42,25,5.44,153.13178708267998
Tomato,24.08,68.15,206.94,16,5.53,128.97926507766343
Tomato,29.36,60.98,479.46,2,6.21,136.65590314162264
Tomato,30.48,69.48,293.86,23,4.85,124.99205092543629
Tomato,24.54,61.84,192.44,35,5.09,154.02543926181662
Tomato,29.89,66.27,271.11,41,4.7,147.03215184211567
Tomato,28.24,69.1,372.66,4,6.87,144.1687411638375
Tomato,29.47,64.83,46.75,27,3.65,128.8524299610335
Tomato,32.69,67.27,100.84,15,6.21,144.15653123216973
Tomato,26.26,62.42,7.66,42,4.83,119.37980366578623
Tomato,24.74,64.02,342.45,9,5.04,127.30692427766618
Tomato,24.33,63.97,481.95,17,5.42,95.64630829760993
Tomato,24.55,61.27,420.53,43,5.43,133.29091342079946
Tomato,26.77,64.12,263.45,22,6.96,135.77479945599072
Tomato,28.02,57.26,211.48,11,6.68,153.6820781138993
Tomato,27.83,62.54,304.64,26,5.35,126.66235647590017
Tomato,29.48,63.58,140.05,39,3.84,172.02704607181113
Tomato,27.04,63.72,25.72,23,4.07,110.05746334793
Tomato,31.36,63.79,212.14,47,5.36,120.06536516382914
Tomato,26.21,64.69,69.59,5,5.63,159.47784669240747
Tomato,35.16,67.4,162.15,5,6.49,152.26382966082093
Tomato,28.88,69.37,382.68,31,4.9,139.68759533611112
Tomato,24.43,61.75,160.57,3,6.82,138.89846141526377
Tomato,23.79,58.98,402.35,30,6.02,150.28477760255802
Tomato,28.45,59.79,366.54,44,2.49,124.73283981282277
Tomato,26.33,62.56,410.48,37,4.44,131.8952106274014
Tomato,29.14,63.24,28.33,22,5.03,150.60706693008703
Tomato,28.42,61.15,149.15,22,4.61,112.3254322375955
Tomato,26.78,58.52,32.59,22,6.63,191.54767430247966
Tomato,24.46,62.72,139.65,5,7.23,123.59455629439064
Tomato,22.46,65.91,129.74,2,7.42,153.6443589541387
Tomato,25.66,67.98,380.68,27,4.88,139.15309009833172
Tomato,29.57,62.21,401.74,3,6.29,168.59435163439053
Tomato,27.64,62.94,204.33,10,6.27,187.1303698740125
Tomato,23.26,60.37,203.32,46,4.06,151.05899051836323
Tomato,27.52,64.84,221.83,19,6.2,119.48864424427607
Tomato,28.16,60.76,360.6,43,3.36,125.75267187218296
Tomato,24.35,67.87,79.25,42,4.1,178.8957501093505
Tomato,27.46,56.07,378.93,12,5.83,160.40350216009023
Tomato,27.17,63.2,406.75,26,5.89,130.2982213119242
Tomato,23.57,66.51,317.93,27,4.84,143.94617342532334
Tomato,28.07,65.92,264.27,37,5.4,120.8616450933413
Tomato,28.68,78.47,25.66,43,4.0,167.71202997645858
Tomato,30.25,66.75,138.22,36,4.15,160.29875295370644
Tomato,30.16,59.98,137.29,39,4.45,145.46965916933738
Tomato,22.87,64.52,343.71,4,6.68,136.37925525152983
Tomato,24.19,56.12,483.67,42,5.0,147.77892529120066
Tomato,28.55,64.6,7.23,36,5.38,142.08953992436446
Tomato,28.54,60.83,427.01,41,3.22,142.1657366700836
Tomato,28.55,69.58,124.61,23,5.08,146.91008009463687
Tomato,38.56,62.25,118.07,9,4.61,111.33927278029128
Tomato,28.71,64.42,87.84,16,5.53,140.45140020601502
Tomato,30.41,61.82,178.68,46,4.82,141.90573046443396
Tomato,29.86,73.69,170.48,8,6.34,169.3273120875025
Tomato,28.95,63.39,329.78,20,4.25,148.91271815193608
Tomato,26.05,74.16,137.51,41,4.62,149.0373690460571
Tomato,29.28,69.07,167.41,43,3.29,127.79915877085467
Tomato,24.68,67.41,487.83,18,5.72,156.2676547546784
Tomato,26.29,66.84,452.98,2,6.88,191.46059168801654
Tomato,25.54,66.97,196.09,46,4.02,151.64203357004718
Tomato,27.25,55.36,260.23,30,5.85,150.6526317316155
Tomato,33.94,63.61,35.19,14,5.69,134.22371874945384
Tomato,21.4,69.23,281.45,30,6.04,138.2603182403266
Tomato,29.06,64.76,378.2,42,4.33,158.70894836323606
Tomato,22.16,57.97,287.49,43,4.47,120.6262684987738
Tomato,25.58,64.74,303.21,7,7.18,151.86982315573516
Tomato,30.27,73.52,379.5,6,5.2,140.5550267420291
Tomato,27.19,71.23,307.98,35,4.4,84.94473881425697
Tomato,23.77,64.69,188.65,12,5.44,153.9996813918519
Tomato,24.85,69.76,112.03,10,6.64,161.67174230468845
Tomato,29.04,63.17,456.95,39,5.19,133.92831119435309
Tomato,24.81,56.48,410.24,41,5.03,138.55416894710265
Tomato,27.65,60.38,419.54,42,4.0,120.66897777386306
Tomato,27.14,72.81,164.9,10,4.91,152.1300603580715
Tomato,25.05,63.63,43.75,9,5.78,153.88643064958234
Tomato,33.43,63.78,440.29,45,3.29,154.07872143421315
Tomato,28.9,63.5,20.27,41,4.42,150.79660414930117
Tomato,20.92,74.52,436.09,4,5.61,181.15470201266794
Tomato,27.56,73.13,201.23,14,5.06,140.52638178288242
Tomato,25.01,76.09,34.57,20,5.17,144.6991411819384
Tomato,29.56,64.2,75.92,35,3.96,152.58434987976
Tomato,24.62,66.48,21.59,33,5.16,150.8608496397229
Tomato,26.66,57.42,249.63,17,6.22,131.8677824846689
Tomato,28.51,72.38,385.57,37,4.92,130.80248735220437
Tomato,29.6,59.16,182.21,19,5.01,116.07594197925658
Tomato,23.4,66.08,469.14,15,4.68,141.9640262048489
Tomato,26.0,59.51,331.63,31,5.55,136.72579622387676
Tomato,25.58,62.06,266.44,3,7.48,145.22471618590902
Tomato,25.04,60.81,188.16,14,4.97,131.81118031837315
Tomato,32.3,61.96,121.17,28,4.46,166.16940895568902
Tomato,28.21,62.3,316.78,18,6.62,158.35002391207112
Tomato,23.22,62.26,469.82,32,5.16,171.60655113097124
Tomato,29.75,69.17,94.04,16,5.19,142.93879660216905
Tomato,33.37,59.48,382.51,21,4.14,153.56025858873096
Tomato,30.1,66.1,1.05,6,6.92,168.6878242595714
Tomato,22.44,71.09,432.17,8,5.28,169.10592186506372
Tomato,25.55,62.43,276.32,19,4.96,140.79134153104275
Tomato,30.8,61.41,37.87,12,6.57,168.73208116224816
Tomato,24.88,63.85,161.46,33,4.89,136.87687840370438
Tomato,28.33,70.9,121.38,28,5.34,150.6590899548684
Tomato,29.32,65.97,330.48,27,5.21,155.24128431649896
Tomato,24.22,62.34,347.66,38,4.28,144.43998851472998
Tomato,26.82,67.42,366.54,46,3.26,161.2779819629977
Tomato,17.28,59.49,235.43,29,4.64,159.70680493990096
Tomato,23.93,68.41,72.86,3,6.41,144.5163272597313
Tomato,26.24,67.04,409.85,21,6.67,139.54336030264366
Tomato,23.26,63.46,176.15,5,6.24,179.31644551828722
Tomato,31.9,60.81,88.77,14,5.11,155.57025340495554
Tomato,22.71,60.57,98.05,25,5.66,134.0732642695802
Tomato,25.68,67.67,386.94,39,4.68,173.00574135622782
Tomato,27.39,71.14,6.85,41,3.96,130.53053845038252
Tomato,31.32,61.81,158.87,46,3.16,145.31547921177943
Tomato,22.69,67.29,57.52,30,4.22,138.71363097765473
Tomato,30.49,54.56,8.36,37,5.26,143.57967839227942
Tomato,27.03,62.08,326.11,3,6.99,157.05435653795783
Tomato,24.06,64.84,120.3,42,5.06,160.47356085361054
Tomato,28.39,60.45,498.76,19,4.24,129.4522272147101
Tomato,27.6,60.32,205.08,9,7.19,170.82278756716457
Tomato,25.2,61.66,495.88,16,5.97,154.5009205191713
Tomato,27.21,66.46,487.67,42,5.1,162.3462026198037
Tomato,25.84,64.06,429.06,18,4.61,155.56190753837114
Tomato,27.34,53.81,484.3,24,4.72,158.43921182447244
Tomato,28.99,54.4,59.79,3,6.17,118.89487648040615
Tomato,31.76,61.97,471.7,7,5.96,156.54196316386825
Tomato,23.29,67.29,147.1,30,4.91,152.01442328520068
Tomato,33.4,51.26,244.67,28,6.85,135.9035938721981
Tomato,21.14,62.5,32.43,38,4.3,142.04484100771415
Tomato,26.54,62.37,473.59,35,4.98,146.93204283341882
Tomato,28.76,71.94,318.16,19,5.08,162.07205630759262
Tomato,27.84,63.07,314.63,43,5.12,138.10191672924745
Tomato,25.13,66.91,180.01,11,6.16,130.63779184563379
Tomato,26.38,65.71,402.43,39,5.17,155.34172516064547
Tomato,25.52,54.35,98.69,45,3.73,138.32601296590386
Tomato,25.23,68.84,182.27,18,5.33,158.42310158051956
Tomato,29.55,66.08,163.09,14,4.97,114.54699866038904
Tomato,28.07,67.54,460.84,43,4.11,122.24628807395483
Tomato,24.92,84.63,115.32,28,4.51,151.0633415649567
Tomato,29.7,54.58,307.19,3,6.68,149.76370339348918
Tomato,27.92,73.62,61.21,35,4.17,152.0155418653073
Tomato,29.44,63.56,449.49,32,6.19,146.954203078598
Tomato,28.89,66.44,52.07,24,4.2,127.54742508505015
Tomato,24.51,64.77,294.35,8,6.35,137.193261137751
Tomato,25.32,62.88,46.37,39,4.93,126.05983020633938
Tomato,29.24,62.15,391.3,34,5.22,185.73964036513564
Tomato,28.83,66.65,69.81,13,6.46,152.3084682251042
Tomato,26.94,57.41,399.08,46,4.37,129.76085572114715
Tomato,27.35,68.75,26.98,13,5.59,149.74763161430627
Tomato,30.83,62.92,96.46,20,6.1,126.81864297756013
Tomato,25.23,59.35,441.79,10,7.23,178.17500485333713
Tomato,28.64,62.75,199.62,11,5.56,155.3396318714595
Tomato,26.39,71.29,264.73,18,5.08,123.79532673239844
Tomato,26.35,62.32,313.8,41,5.03,182.84205307100353
Tomato,30.3,66.79,439.78,40,4.08,120.35449805662154
Tomato,29.48,61.35,317.22,42,3.93,135.70456423277216
Tomato,29.44,68.79,22.41,11,5.74,144.01067214131697
Tomato,30.92,68.43,430.87,13,5.0,129.36154808159367
Tomato,27.06,74.24,272.01,16,5.9,150.35236059928172
Tomato,29.05,64.12,191.92,32,4.89,137.03854205386887
Tomato,26.07,68.34,50.46,16,5.43,141.96609990827108
Tomato,27.97,65.49,116.17,29,5.62,126.1873528562637
Tomato,26.61,71.48,401.13,5,6.39,182.73702534280267
Tomato,27.29,61.41,276.27,37,4.86,150.6889903630911
Tomato,28.79,68.73,57.66,2,6.86,139.37124314104898
Tomato,24.55,64.03,247.74,45,3.09,141.2697087355747
Tomato,33.28,64.68,47.12,35,5.03,133.56090324001823
Tomato,23.98,65.46,176.89,18,6.02,163.27838613654856
Tomato,23.36,66.26,487.03,40,4.6,138.59088301225438
Tomato,30.47,64.42,109.79,39,3.48,171.88205838853003
Tomato,29.37,66.07,100.42,45,4.03,165.69801150343926
Tomato,28.87,72.89,239.28,34,4.48,123.66728261358776
Tomato,28.89,69.93,281.81,22,4.94,133.3902761036545
Tomato,26.96,69.35,407.23,27,4.09,177.43972775249378
Tomato,24.31,62.72,206.85,47,4.29,160.2197944672331
Tomato,27.23,60.55,315.15,37,4.08,132.65372338438291
Tomato,24.97,69.78,37.85,6,5.89,103.32028951729893
Tomato,29.93,69.38,53.5,34,4.62,85.85012605136247
Tomato,26.56,72.36,359.69,2,4.55,164.52500174197968
Tomato,24.52,61.98,145.75,7,6.74,160.31429460441993
Tomato,26.04,63.85,428.49,38,4.82,152.5523620698089
Tomato,28.24,56.8,80.6,3,7.71,137.38421289792154
Tomato,25.31,63.04,120.92,6,5.45,147.66410849257858
Tomato,24.53,69.98,465.04,27,4.02,179.88056973631836
Tomato,27.73,62.67,394.1,42,3.82,112.4278391639936
Tomato,27.73,68.2,257.21,14,4.66,170.50136077377627
Tomato,25.48,64.05,167.07,13,5.7,110.69033425971989
Tomato,25.59,66.62,198.15,6,6.29,148.39170091545708
Tomato,27.7,59.26,23.52,3,7.52,141.87012526460188
Tomato,22.66,65.43,454.88,5,4.79,112.99683500857921
Tomato,22.78,50.04,194.02,28,5.3,138.87677658900535
Tomato,24.84,64.07,252.17,11,6.44,133.31783517144032
Tomato,26.36,56.85,320.39,14,5.91,155.9438537353096
Tomato,27.93,71.03,309.26,45,4.68,154.00860232609202
Tomato,31.43,68.89,59.1,3,6.02,134.2964774119267
Tomato,29.57,67.33,352.52,27,5.11,168.3796362278893
Tomato,26.52,72.61,298.25,16,5.23,149.57003112044148
Tomato,26.94,60.26,340.5,47,4.13,130.0440534768364
Tomato,23.99,73.74,266.74,11,6.58,135.96344183907647
Tomato,26.94,69.66,97.23,23,4.66,117.76308872412976
Tomato,26.13,63.82,207.76,41,4.12,143.42163687689774
Tomato,27.97,70.68,145.08,26,4.74,164.1856599120423
Tomato,24.52,59.47,246.42,16,5.7,166.37990276454573
Tomato,28.56,60.88,423.19,14,6.34,144.28920287203775
Tomato,31.6,61.96,229.28,9,5.62,150.7544197703511
Tomato,26.67,62.36,444.84,22,5.74,141.59162220427268
Tomato,28.21,59.72,142.93,22,5.21,122.32390204030041
Tomato,29.07,71.12,443.91,23,5.14,144.9553185812304
Tomato,25.8,63.71,246.82,47,3.56,92.44510915845012
Tomato,27.67,66.76,93.36,34,4.04,175.12633893837156
Tomato,27.04,62.15,264.6,46,3.22,116.1126796540834
Tomato,27.29,55.9,368.25,28,5.15,116.31550602486035
Tomato,24.68,66.35,112.32,41,5.04,129.87681013972852
Tomato,27.07,55.44,322.69,23,5.89,159.98732366949923
Tomato,28.49,64.66,350.5,31,5.57,153.83047095858092
Tomato,31.35,58.16,18.0,10,6.28,133.27468590474402
Tomato,29.88,74.94,301.9,46,4.0,125.17490610431167
Tomato,33.46,69.56,197.61,36,4.6,144.0649010076438
Tomato,24.7,65.53,195.77,19,5.99,114.745023078356
Tomato,29.62,71.32,386.64,43,4.0,130.30496705304088
Tomato,27.55,60.77,40.94,6,6.49,168.44471029670999
Tomato,33.57,67.72,396.58,28,5.33,141.45620585373013
Tomato,24.58,66.0,429.75,7,5.91,158.96141184031126
Tomato,24.48,66.32,273.64,33,4.43,146.2089540530928
Tomato,25.2,71.36,395.23,9,4.51,127.55727693318583
Tomato,20.63,68.66,117.83,40,3.26,150.54820216686264
Tomato,25.42,66.44,420.74,22,5.31,104.03329660542825
Tomato,24.72,56.73,187.74,19,4.88,137.16188811381505
Tomato,27.45,60.2,91.35,15,6.98,152.01907504241203
Tomato,28.03,64.39,465.04,16,6.11,137.70628357763553
Tomato,32.63,65.47,491.91,43,6.03,136.9090889579477
Tomato,29.85,59.35,384.28,27,3.97,142.15866677096992
Tomato,25.27,77.06,23.09,45,2.59,161.21960543678864
Tomato,24.3,72.58,256.51,33,5.01,138.60571761751154
Tomato,28.48,68.01,281.38,40,4.06,99.75125344469447
Tomato,23.04,65.36,262.99,29,5.73,151.73275812821288
Tomato,32.49,63.94,257.13,40,4.02,155.92237414798535
Tomato,30.54,60.24,252.19,44,3.91,135.19882866519495
Tomato,25.59,65.39,400.34,33,5.73,118.09309768505497
Tomato,21.86,66.29,458.59,14,5.7,115.35543277850016
Tomato,31.06,58.79,485.03,16,5.13,158.55406512902317
Banana,31.66,61.45,393.23,21,6.03,108.78220530093067
Banana,27.21,60.02,492.92,31,5.9,130.02046731239045
Banana,32.63,60.07,198.31,16,6.83,111.25817127509323
Banana,28.34,67.65,286.54,3,6.5,101.784951815606
Banana,29.45,63.65,150.91,31,3.27,113.60226836364379
Banana,24.39,61.59,146.66,26,7.28,114.41587394313258
Banana,24.92,58.19,364.79,5,7.21,96.44199342593811
Banana,27.05,68.36,68.09,2,6.59,99.10172223083956
Banana,30.64,70.35,54.41,9,5.7,126.21179600225898
Banana,25.91,59.88,38.76,15,5.38,125.3279632535232
Banana,22.71,64.38,238.69,12,6.52,133.80046023868894
Banana,28.19,60.34,430.18,25,5.0,108.59229087677815
Banana,27.19,64.29,196.08,25,5.74,106.64649385619762
Banana,25.35,68.04,74.72,33,4.86,115.91432286328272
Banana,25.88,73.09,261.44,26,3.88,122.9072714091739
Banana,24.39,62.76,114.21,47,5.28,110.95062245115098
Banana,29.77,68.5,240.16,29,4.05,103.09255158408507
Banana,27.07,68.62,426.78,17,6.58,110.51690319941726
Banana,27.72,64.24,135.75,43,5.36,105.97572539637788
Banana,25.21,70.8,84.57,40,5.3,98.85272243595851
Banana,31.01,63.36,43.6,17,5.69,125.56811001114595
Banana,27.66,67.18,410.36,37,5.37,155.94024912867994
Banana,20.58,62.13,343.33,13,6.31,132.33439332871734
Banana,28.38,67.66,98.08,13,6.04,140.28540567048634
Banana,26.21,67.16,295.7,35,5.08,95.74878972557462
Banana,26.51,70.94,236.31,39,4.63,105.72683262253884
Banana,29.98,74.18,441.87,21,5.17,125.24694360351376
Banana,27.27,69.58,137.92,16,7.55,116.4307816418941
Banana,32.14,68.35,484.9,23,4.83,117.0763740887722
Banana,27.32,63.05,254.82,17,6.35,84.8599833974545
Banana,25.6,53.67,3.44,25,7.43,119.739123604396
Banana,21.56,71.49,249.93,4,6.82,80.23358511583541
Banana,24.85,74.28,3.03,2,7.16,125.89223253456791
Banana,26.03,66.56,182.53,45,4.0,99.03905018782405
Banana,31.4,59.97,47.79,39,4.58,108.8304525857206
Banana,25.62,71.89,184.26,18,5.79,121.99405587387193
Banana,31.93,70.53,443.25,42,3.73,105.52014887912964
Banana,23.56,54.81,485.13,22,5.74,120.55447097228829
Banana,24.68,65.7,166.07,46,5.2,93.95588219532468
Banana,30.38,66.21,459.52,14,5.44,113.70275805077965
Banana,25.21,56.98,403.26,3,7.43,150.86218831200017
Banana,30.3,59.61,327.04,3,6.85,110.73344604637539
Banana,24.52,70.46,102.02,44,4.5,128.1750416497239
Banana,24.82,65.35,124.51,26,6.05,105.77498232025478
Banana,28.93,60.25,139.7,29,4.66,120.05944893283271
Banana,24.56,61.65,334.66,27,5.66,131.29372242889562
Banana,26.18,58.99,334.31,36,6.57,137.98388620463624
Banana,28.18,65.38,161.34,29,5.28,110.45032489970541
Banana,26.24,68.76,64.55,34,4.33,110.46185470232558
Banana,25.31,70.88,268.4,19,5.89,117.45210297531762
Banana,23.38,61.66,361.93,15,7.1,96.76495786509425
Banana,31.35,63.23,492.23,42,4.81,121.63469879613724
Banana,31.91,67.51,432.82,10,6.07,115.38914396366059
